"","Lupus","WT"
"Zfp865",0.368962450198092,-0.279475648112743
"Epn1",0.348438094330797,-0.122897485153467
"Zfp444",0.366365338770705,-0.0143064171258701
"Vmn1r72",0.594826458993193,-0.560369270456833
"Ppp5c",0.277500682964198,-0.235981306670385
"Fosb",0.244557672646709,-0.257351342828605
"Ercc1",0.264323714613318,-0.247036850402602
"Relb",0.314911525185665,-0.336394090653216
"Bcl3",0.493149467486453,-0.34543463312217
"Kcnn4",0.621228521207633,-0.4739531403887
"Mir7047",0.693688125034944,-0.180781784668842
"Pou2f2",0.405267832911522,-0.648841123866027
"Dedd2",0.383530824252723,-0.24639519297072
"Erf",0.302130287760969,-0.268432509553077
"Cic",0.413332288423076,-0.298873568061073
"Zfp36",0.260383451982407,-0.322759874684783
"Lrfn1",0.384428036737817,-0.153979896883216
"Nfkbid",0.473997975716791,-0.451760083773832
"Hcst",0.525565975069505,-0.517892932792461
"Zbtb32",0.282610903133661,-0.233716983328352
"Mag",0.443078002156915,-0.337815669183926
"Fxyd5",0.42010231230578,-0.646913783806321
"Hpn",0.252352528750961,-0.106795513336986
"Ccne1",0.264126487768374,-0.16165838194508
"Gm28453",1.4362536581353,-1.20307961474272
"Gm5592",0.69881536973498,-0.716375624718946
"AI987944",0.890323929359226,-0.890023731567337
"Cldnd2",0.478441225041518,-0.349583820649186
"Shank1",0.257575740564708,-0.344963196401627
"Emc10",0.420723265001099,-0.353862237513525
"Fam71e1",0.4289945360744,-0.419822915852182
"Nr1h2",0.450433304996369,-0.210191930314877
"Myh14",0.249356911643216,-0.0545090993655399
"Scaf1",0.298532445128904,-0.225578273347604
"Mir7054",0.288182792776908,-0.246430871528385
"Rras",0.252705883448134,-0.173343619165724
"Sult2b1",0.284367134982311,-0.367614279506501
"Lmtk3",0.488771439921341,-0.375392011916377
"Gm5897",0.51296810348167,-0.336391939585398
"Nell1os",0.639784713294631,-0.131941502955892
"Klf13",0.310806914507567,-0.218687711149789
"E030018B13Rik",0.283741597650832,-0.110992928353202
"1700011C11Rik",0.51273784207298,-0.501788725924885
"Mctp2",0.336430355509566,-0.195988370266346
"Isg20",0.426311903901784,-0.286125892168887
"Sema4b",0.226411086401286,-0.0522183586699326
"Blm",0.288398297456284,-0.125075011737772
"Sec11a",0.28638653193588,-0.417333741764071
"Fah",0.308707506695844,-0.191935700893065
"Rab30",0.311697918711018,-0.139645066339575
"4632427E13Rik",0.432166559193155,-0.255767716917602
"Ddias",0.382471447019825,-0.268153082210252
"Map6",0.304611583716517,-0.0732568613603521
"C2cd3",0.238912486869529,-0.00818918139499278
"Ucp2",0.50080625436166,-0.594940067707555
"Arap1",0.213101068486242,-0.00749379247902968
"Numa1",0.211282847693718,-0.0273680139105541
"Stim1",0.310178317681372,-0.194677936772278
"Rrm1",0.578797457899492,-0.220282493259692
"4930583K01Rik",0.337090622535744,-0.287138142438782
"Vwa3a",0.339636706544411,-0.0759535245211743
"Mettl9",0.309456196177136,-0.184318748179307
"Mir7058",0.703411543244759,-0.23449298654391
"Slx1b",0.361787295857686,-0.0856010314673988
"Coro1a",0.495736458987975,-0.446163830477154
"Spn",0.466817041048978,-0.355123627705994
"Rgs10",0.363327795565664,-0.0992195029086448
"Plpp4",0.324443394664794,-0.0616899648029176
"Ptpre",0.325542383273008,-0.20744510677569
"5830432E09Rik",0.468921877595036,-0.356946703841747
"Olfr524",0.587826496512813,-0.0481756979059764
"Olfr525",0.986117678222907,-1.00807609829799
"Ctsd",0.305797137212188,-0.104684937664111
"LTO1",0.362178169109907,-0.234150896227097
"B930025P03Rik",0.309114027409843,-0.23295796565305
"Irs2",0.317212796536734,-0.202910657659815
"9530052E02Rik",0.268733305181919,-0.149988515118463
"Rab20",0.2447820571535,-0.157192624718082
"Naxd",0.446152286296147,0.102295113859062
"Atp11a",0.242066527735345,-0.126820185028218
"Rasa3",0.250046618471102,-0.324174421333525
"AY761185",0.56998153752908,-0.911617724095462
"Defa21",0.689355555325406,-0.582472700243286
"Plekha2",0.308139316953557,-0.363553187477871
"Chrna6",0.768589666691976,-0.149061826412614
"Pcm1",0.326474773893099,-0.227131989208118
"Hmgb2",0.416207873402026,0.00782444986233418
"Nr2c2ap",0.434786527391914,-0.0117281946554828
"Slc25a42",0.268337507786794,0.0397985141902575
"Mpv17l2",0.4630510689341,-0.345392527845631
"Unc13a",0.318176265618397,-0.447373677705887
