"","D01116_test","D01117_test","D01118_test","D01119_test","D01120_test"
"H1f0",0.312984406998843,-0.310908042014947,-0.101248591596594,0.179898847840358,0.299599376028993
"Slc27a2",0.290994725345781,-0.219871138229903,0.102560483905726,-0.207804787243585,0.304561241677192
"Adra2b",0.280716633269156,-0.3149494188556,-0.303370352564936,-0.16388764925845,0.257760883853447
"Celsr2",0.200732911402853,-0.149526448380173,-0.0362259378072185,0.0432104315644567,0.271904856281468
"Ak4",0.441799622892653,-0.243246040462015,0.346854156372925,0.0457214476650112,0.277359410643703
"Klhdc7a",0.355799929309142,-0.301479875101326,-0.242122599917147,0.306111570901548,0.303167319862492
"Trip6",0.306084855290013,-0.314683292537476,-0.0312552442052995,-0.100988908382898,0.329151296257833
"Aadat",0.243777135763357,-0.0876055982321289,-0.516094070440087,-0.18788514265217,0.482349903682153
"Vstm5",0.306273266763812,0.121464106107032,-0.148675787166092,-0.119123431455016,0.269129994238525
"Clk3",0.214296165624988,-0.101806011974581,-0.132635986308113,-0.0442829523156151,0.251635007242211
"Abhd14a",0.279652020590145,-0.244350696281575,-0.557855033581393,-0.0375775267450164,0.388446596963351
"Abhd14b",0.287645585151615,-0.206248816947937,-0.500802936900452,-0.106216491140866,0.375429774414992
"Pcbp4",0.254663281769566,-0.272350010002292,-0.0882321005138119,-0.0790782259972594,0.237305438403438
"Efnb1",0.202900016444412,-0.0605618052581454,-0.303002882177147,0.0344082770803263,0.217310617806664
"Snora33",-0.687927598090655,-0.139966842688278,-0.335661860210387,1.00115458262556,0.581657480773165
"Snord100",-0.666005664908118,-0.114773396281754,-0.313359098346646,1.03676698909559,0.636551151217844
"Ncoa7",0.0146932050606845,-0.311989759835916,-0.228312530668437,0.353942213076886,0.216285071834282
"Hist3h2a",-0.369105881210202,0.0119965399694495,-0.524762608633977,0.895024620507011,0.447239815232813
"Nkiras2",-0.22477623056941,0.0894862778726219,-0.486255480074243,0.514746166628966,0.539801961516285
"Mpp5",-0.37349261727358,-0.0958573626781878,-0.544331500427734,0.641904743219782,0.348927040547814
"Gas1",-0.10840562570561,0.0291116155576725,-0.506592465985194,0.738469939749702,0.361827125444792
"Pik3r1",-0.27818217804916,0.0145083312099665,-0.179513943361851,0.231333975685486,0.24182018471685
"Pelo",-0.141245989125044,-0.157813068232961,-0.320736949990641,0.405023089502752,0.219505934423996
"Gm9920",-0.0142832382507691,-0.188482323387174,-0.0704442083038008,0.609606950747896,0.365161930726071
"Cbx5",-0.382626572415121,0.043272754368019,-0.473057563884833,0.362478103626425,0.378371956193117
"Hnrnpa1",-0.61598379298082,0.0602923648100045,-0.782684896079202,0.636123243287115,0.674236144936792
"Coro7",-0.119955830691004,-0.169521817277902,-0.143819240715653,0.247221628207055,0.333638065019392
"P3h2",0.130673943486462,-0.217708859241776,-0.451061508301899,0.433040323086468,0.220228334715775
"Ppm1b",-0.204439335755439,-0.169051319339163,-0.126952919931164,0.369799460736888,0.300849571831957
"Nr3c1",-0.217950715000114,-0.0852296976894858,-0.342025841233886,0.306309045858355,0.211066549271394
"Smad7",-0.0390151930586551,-0.12087898332638,-0.183836463191481,0.239938349070364,0.3006327064505
"1700001O22Rik",0.0881612692287777,-0.103244413606157,-0.434150627680026,0.251274832976799,0.251392820846414
"Cry2",-0.144167014478239,-0.175352506833147,-0.458388463883453,0.411591145402581,0.343059195976897
"D930015M05Rik",-0.13863481376856,-0.17557126984843,-0.436611469444647,0.374274023854138,0.331987639532773
"Trim2",0.00601497094851557,-0.0372364878246888,-0.54306394710693,0.272812165755444,0.264120023183129
"Cnn3",-0.0883194753104017,0.0367740948959034,-0.454891786307689,0.287665510206719,0.281651235796683
